campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,budget_cat,revenue_cat,roi_cat
Vision-oriented encompassing system engine,2022-11-24 00:00:00+00:00,2024-03-22 00:00:00+00:00,914779.0,-0.9540337611597993,email,B2B,referral,0.28,42048.95,484.0,Muy Alto,Bajo,Pérdida
Ergonomic next generation throughput,2022-12-16 00:00:00+00:00,2024-03-25 00:00:00+00:00,6880122.0,-0.9299115698820457,social media,B2B,organic,0.65,482216.95,465.0,Muy Alto,Muy Alto,Pérdida
Vision-oriented 4thgeneration conglomeration,2023-01-18 00:00:00+00:00,2024-04-22 00:00:00+00:00,130917.0,1.087061878900372,podcast,B2C,organic,0.27,273231.88,460.0,Alto,Muy Alto,Medio
Ameliorated secondary data-warehouse,2023-04-29 00:00:00+00:00,2023-08-24 00:00:00+00:00,271686.0,1.5940537973984672,social media,B2B,organic,0.1,704768.1,117.0,Muy Alto,Muy Alto,Medio
Programmable executive workforce,2022-11-22 00:00:00+00:00,2024-07-01 00:00:00+00:00,396829.0,-0.7064091586048399,webinar,B2B,paid,0.7,116505.36,587.0,Muy Alto,Alto,Pérdida
Cross-group user-facing application,2023-02-27 00:00:00+00:00,2024-01-06 00:00:00+00:00,892277.0,-0.30808486602254687,podcast,B2C,promotion,0.0,617379.96,313.0,Muy Alto,Muy Alto,Pérdida
Secured systematic architecture,2022-11-26 00:00:00+00:00,2024-04-16 00:00:00+00:00,9691797.0,-0.9409833614963252,podcast,B2C,promotion,0.39,571977.28,507.0,Muy Alto,Muy Alto,Pérdida
Seamless bifurcated firmware,2022-09-06 00:00:00+00:00,2023-12-12 00:00:00+00:00,2832341.0,-0.6524919492391629,webinar,B2B,organic,0.9,984261.3,462.0,Muy Alto,Muy Alto,Pérdida
Intuitive directional website,2023-06-15 00:00:00+00:00,2024-01-07 00:00:00+00:00,6365618.0,-0.9878250721296816,podcast,B2B,referral,0.4,77500.94,206.0,Muy Alto,Medio,Pérdida
Mandatory incremental throughput,2023-02-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,690841.0,-0.6946427180784002,podcast,B2B,organic,0.98,210953.33,489.0,Muy Alto,Muy Alto,Pérdida
Organic 24/7 secured line,2023-07-14 00:00:00+00:00,2023-10-06 00:00:00+00:00,6544741.0,-0.9269783540708487,email,B2B,paid,0.26,477907.76,84.0,Muy Alto,Muy Alto,Pérdida
User-friendly analyzing moratorium,2023-04-06 00:00:00+00:00,2024-03-16 00:00:00+00:00,2032853.0,-0.676263999413632,email,B2B,organic,0.97,658107.7,345.0,Muy Alto,Muy Alto,Pérdida
Programmable discrete intranet,2023-03-05 00:00:00+00:00,2024-02-13 00:00:00+00:00,80419.0,6.060624354940996,social media,B2B,paid,0.96,567808.35,345.0,Medio,Muy Alto,Alto
Future-proofed empowering forecast,2022-12-11 00:00:00+00:00,2023-11-05 00:00:00+00:00,1903069.0,-0.7519069355866761,webinar,B2C,promotion,0.75,472138.22,329.0,Muy Alto,Muy Alto,Pérdida
Re-engineered solution-oriented core,2022-10-20 00:00:00+00:00,2024-02-11 00:00:00+00:00,61247.0,5.489055953761001,email,B2B,referral,0.67,397435.21,479.0,Medio,Muy Alto,Alto
Diverse grid-enabled forecast,2022-11-18 00:00:00+00:00,2023-11-18 00:00:00+00:00,1127119.0,-0.5223508875282912,social media,B2C,referral,0.81,538367.39,365.0,Muy Alto,Muy Alto,Pérdida
Function-based motivating functionalities,2022-12-11 00:00:00+00:00,2024-03-18 00:00:00+00:00,2820384.0,-0.7978125780035626,email,B2C,organic,0.24,570246.17,463.0,Muy Alto,Muy Alto,Pérdida
User-centric holistic firmware,2022-08-06 00:00:00+00:00,2024-03-12 00:00:00+00:00,9995715.0,-0.9569317212425524,webinar,B2C,referral,0.62,430498.24,584.0,Muy Alto,Muy Alto,Pérdida
Virtual real-time architecture,2023-06-06 00:00:00+00:00,2023-12-25 00:00:00+00:00,2767542.0,-0.7569440572175599,email,B2B,paid,0.1,672667.53,202.0,Muy Alto,Muy Alto,Pérdida
Open-source 6thgeneration secured line,2023-03-07 00:00:00+00:00,2023-09-30 00:00:00+00:00,1248075.0,-0.3207307653786832,podcast,B2B,promotion,0.82,847778.95,207.0,Muy Alto,Muy Alto,Pérdida
Reduced leadingedge architecture,2023-04-23 00:00:00+00:00,2024-06-06 00:00:00+00:00,8411933.0,-0.9029243789744877,email,B2C,organic,0.64,816593.62,410.0,Muy Alto,Muy Alto,Pérdida
Fully-configurable 24/7 knowledgebase,2022-09-30 00:00:00+00:00,2024-01-20 00:00:00+00:00,665822.0,-0.5885495372637131,webinar,B2C,promotion,0.3,273952.77,477.0,Muy Alto,Muy Alto,Pérdida
Organic 4thgeneration neural-net,2022-10-29 00:00:00+00:00,2024-04-16 00:00:00+00:00,5382621.0,-0.8729621182691482,podcast,B2B,promotion,0.2,683796.77,535.0,Muy Alto,Muy Alto,Pérdida
Centralized 3rdgeneration budgetary management,2023-07-26 00:00:00+00:00,2023-08-11 00:00:00+00:00,851250.0,-0.5716318472834068,webinar,B2C,promotion,0.14,364648.39,16.0,Muy Alto,Muy Alto,Pérdida
Persevering web-enabled workforce,2023-06-23 00:00:00+00:00,2024-01-03 00:00:00+00:00,792208.0,-0.9626670268414356,social media,B2C,paid,0.3,29575.48,194.0,Muy Alto,Bajo,Pérdida
Multi-channeled high-level interface,2023-04-06 00:00:00+00:00,2023-08-15 00:00:00+00:00,465605.0,0.05027924957850542,social media,B2C,paid,0.85,489015.27,131.0,Muy Alto,Muy Alto,Bajo
Re-contextualized high-level project,2023-07-13 00:00:00+00:00,2024-04-22 00:00:00+00:00,5685062.0,-0.9326109073216792,social media,B2C,referral,0.98,383111.17,284.0,Muy Alto,Muy Alto,Pérdida
Right-sized tangible product,2022-11-09 00:00:00+00:00,2024-02-16 00:00:00+00:00,9485615.0,-0.9700903779038048,email,B2B,referral,0.23,283711.16,464.0,Muy Alto,Muy Alto,Pérdida
Diverse leadingedge initiative,2022-10-17 00:00:00+00:00,2023-08-16 00:00:00+00:00,9338363.0,-0.9196958096402978,email,B2B,promotion,0.76,749909.68,303.0,Muy Alto,Muy Alto,Pérdida
Intuitive transitional hardware,2023-02-25 00:00:00+00:00,2023-09-15 00:00:00+00:00,2618357.0,-0.835855041921327,social media,B2B,referral,0.26,429790.1,202.0,Muy Alto,Muy Alto,Pérdida
Diverse 6thgeneration superstructure,2022-08-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,9912836.0,-0.9140170784627124,email,B2B,promotion,0.78,852334.6,518.0,Muy Alto,Muy Alto,Pérdida
Enhanced 4thgeneration hierarchy,2022-08-06 00:00:00+00:00,2024-04-17 00:00:00+00:00,8064764.0,-0.8918555496478261,webinar,B2B,referral,0.81,872159.47,620.0,Muy Alto,Muy Alto,Pérdida
Function-based systematic emulation,2023-03-02 00:00:00+00:00,2024-07-12 00:00:00+00:00,3088342.0,-0.7172132717166687,social media,B2B,paid,0.37,873342.13,498.0,Muy Alto,Muy Alto,Pérdida
Managed asymmetric array,2022-10-14 00:00:00+00:00,2024-07-06 00:00:00+00:00,2499861.0,-0.9714952991386321,webinar,B2C,organic,0.39,71257.79,631.0,Muy Alto,Medio,Pérdida
Enterprise-wide mission-critical utilization,2022-09-29 00:00:00+00:00,2023-09-05 00:00:00+00:00,6411981.0,-0.9669508409335585,social media,B2B,promotion,0.93,211910.58,341.0,Muy Alto,Muy Alto,Pérdida
Adaptive clear-thinking methodology,2023-05-16 00:00:00+00:00,2024-03-21 00:00:00+00:00,6059485.0,-0.8596619003100098,social media,B2C,paid,0.82,850376.61,310.0,Muy Alto,Muy Alto,Pérdida
Networked zero administration model,2022-11-01 00:00:00+00:00,2023-11-06 00:00:00+00:00,2241136.0,-0.9543152133560838,webinar,B2C,organic,0.4,102385.82,370.0,Muy Alto,Alto,Pérdida
Seamless well-modulated open architecture,2022-08-28 00:00:00+00:00,2023-10-09 00:00:00+00:00,4790632.0,-0.8180126275614574,webinar,B2B,promotion,0.45,871834.53,407.0,Muy Alto,Muy Alto,Pérdida
Exclusive radical installation,2022-08-09 00:00:00+00:00,2023-10-10 00:00:00+00:00,2854876.0,-0.9365798969902721,email,B2C,promotion,0.6,181056.53,427.0,Muy Alto,Alto,Pérdida
Intuitive bottom-line algorithm,2022-08-27 00:00:00+00:00,2024-05-06 00:00:00+00:00,4425143.0,-0.8086926682369361,email,B2B,referral,0.16,846562.3,618.0,Muy Alto,Muy Alto,Pérdida
Compatible stable extranet,2022-12-24 00:00:00+00:00,2023-11-13 00:00:00+00:00,3289511.0,-0.9583956034802741,podcast,B2C,referral,0.1,136858.12,324.0,Muy Alto,Alto,Pérdida
Progressive secondary synergy,2022-11-08 00:00:00+00:00,2024-04-06 00:00:00+00:00,559859.0,-0.09723353558663879,social media,B2B,organic,0.59,505421.93,515.0,Muy Alto,Muy Alto,Pérdida
Sharable next generation ability,2022-12-15 00:00:00+00:00,2024-02-19 00:00:00+00:00,2321227.0,-0.6423537206830698,webinar,B2C,referral,0.49,830178.2,431.0,Muy Alto,Muy Alto,Pérdida
Devolved value-added support,2023-07-02 00:00:00+00:00,2024-02-13 00:00:00+00:00,420516.0,-0.31586313005926053,email,B2B,referral,0.25,287690.5,226.0,Muy Alto,Muy Alto,Pérdida
Front-line full-range matrices,2022-08-04 00:00:00+00:00,2023-08-10 00:00:00+00:00,7982952.0,-0.9407701599608767,email,B2B,paid,0.7,472828.97,371.0,Muy Alto,Muy Alto,Pérdida
Grass-roots foreground firmware,2023-04-26 00:00:00+00:00,2024-04-21 00:00:00+00:00,9616966.0,-0.9526383965587484,podcast,B2C,organic,0.45,455474.93,361.0,Muy Alto,Muy Alto,Pérdida
Implemented reciprocal monitoring,2023-02-26 00:00:00+00:00,2024-06-19 00:00:00+00:00,7272222.0,-0.9148625674518737,email,B2C,organic,0.1,619138.31,479.0,Muy Alto,Muy Alto,Pérdida
Reverse-engineered foreground approach,2023-02-22 00:00:00+00:00,2024-02-18 00:00:00+00:00,521252.0,-0.9467536623360677,webinar,B2C,referral,0.8,27754.76,361.0,Muy Alto,Bajo,Pérdida
Open-source maximized projection,2023-03-23 00:00:00+00:00,2024-03-22 00:00:00+00:00,7734013.0,-0.9550812379032722,webinar,B2B,referral,0.74,347402.29,365.0,Muy Alto,Muy Alto,Pérdida
Intuitive object-oriented moratorium,2022-12-18 00:00:00+00:00,2023-08-28 00:00:00+00:00,9776351.0,-0.9749628005377468,webinar,B2C,promotion,0.7,244772.45,253.0,Muy Alto,Muy Alto,Pérdida
Virtual 4thgeneration Graphical User Interface,2023-07-27 00:00:00+00:00,2024-03-27 00:00:00+00:00,1546329.0,-0.3770720784516102,social media,B2B,promotion,0.6,963251.51,244.0,Muy Alto,Muy Alto,Pérdida
Reactive multi-tasking extranet,2022-12-26 00:00:00+00:00,2023-08-25 00:00:00+00:00,5121038.0,-0.8953066370528788,email,B2B,referral,0.83,536138.69,242.0,Muy Alto,Muy Alto,Pérdida
Enhanced heuristic archive,2023-05-05 00:00:00+00:00,2023-09-26 00:00:00+00:00,1606641.0,-0.6832735315481181,email,B2B,paid,0.3,508865.73,144.0,Muy Alto,Muy Alto,Pérdida
Stand-alone bandwidth-monitored capability,2022-10-10 00:00:00+00:00,2024-03-29 00:00:00+00:00,8938319.0,-0.9072573769184116,social media,B2C,referral,0.77,828963.15,536.0,Muy Alto,Muy Alto,Pérdida
Open-source coherent archive,2022-08-18 00:00:00+00:00,2024-06-11 00:00:00+00:00,465580.0,-0.3220351819236222,podcast,B2B,organic,0.4,315646.86,663.0,Muy Alto,Muy Alto,Pérdida
Future-proofed coherent core,2022-09-14 00:00:00+00:00,2024-05-08 00:00:00+00:00,621783.0,-0.4896314630666969,social media,B2C,paid,0.2,317338.48,602.0,Muy Alto,Muy Alto,Pérdida
Decentralized radical emulation,2022-09-18 00:00:00+00:00,2024-04-23 00:00:00+00:00,202015.0,0.6602005791649134,webinar,B2B,promotion,0.89,335385.42,583.0,Muy Alto,Muy Alto,Bajo
Team-oriented content-based data-warehouse,2022-11-12 00:00:00+00:00,2024-01-15 00:00:00+00:00,4364399.0,-0.8923050252738121,social media,B2C,organic,0.55,470023.84,429.0,Muy Alto,Muy Alto,Pérdida
Expanded tangible capacity,2023-06-26 00:00:00+00:00,2024-05-07 00:00:00+00:00,2064717.0,-0.6319889069543186,email,B2B,organic,0.78,759838.76,316.0,Muy Alto,Muy Alto,Pérdida
Secured methodical system engine,2023-05-30 00:00:00+00:00,2024-05-08 00:00:00+00:00,2978193.0,-0.809336695103373,webinar,B2C,paid,0.46,567832.12,344.0,Muy Alto,Muy Alto,Pérdida
Synergistic well-modulated conglomeration,2023-04-23 00:00:00+00:00,2023-11-23 00:00:00+00:00,8900341.0,-0.9276951568484848,podcast,B2C,referral,0.18,643537.76,214.0,Muy Alto,Muy Alto,Pérdida
Programmable dedicated ability,2022-10-18 00:00:00+00:00,2024-03-26 00:00:00+00:00,3483817.0,-0.9177985640462746,podcast,B2B,promotion,0.22,286374.76,525.0,Muy Alto,Muy Alto,Pérdida
Public-key dynamic synergy,2023-03-03 00:00:00+00:00,2023-11-16 00:00:00+00:00,82098.0,7.839518136860825,webinar,B2B,paid,0.78,725706.76,258.0,Medio,Muy Alto,Alto
Synergistic actuating benchmark,2022-12-14 00:00:00+00:00,2023-08-20 00:00:00+00:00,1302435.0,-0.3225238879483429,email,B2C,organic,0.99,882368.6,249.0,Muy Alto,Muy Alto,Pérdida
Optional client-driven approach,2022-12-30 00:00:00+00:00,2024-07-02 00:00:00+00:00,918095.0,-0.8985917143650712,webinar,B2C,organic,0.97,93102.44,550.0,Muy Alto,Medio,Pérdida
Cloned exuding matrices,2023-06-03 00:00:00+00:00,2024-07-16 00:00:00+00:00,4621577.0,-0.9293560812683637,email,B2C,paid,0.63,326486.31,409.0,Muy Alto,Muy Alto,Pérdida
Expanded zero tolerance adapter,2022-09-19 00:00:00+00:00,2024-05-07 00:00:00+00:00,8047462.0,-0.9510377905481256,email,B2C,organic,0.7,394021.52,596.0,Muy Alto,Muy Alto,Pérdida
Persistent incremental installation,2022-12-22 00:00:00+00:00,2024-01-27 00:00:00+00:00,1278978.0,-0.5963603752371034,email,B2C,paid,0.4,516246.2,401.0,Muy Alto,Muy Alto,Pérdida
Integrated full-range encoding,2023-06-18 00:00:00+00:00,2024-03-01 00:00:00+00:00,4281839.0,-0.8182363068765547,email,B2B,promotion,0.14,778282.87,257.0,Muy Alto,Muy Alto,Pérdida
Total system-worthy framework,2023-01-16 00:00:00+00:00,2023-08-10 00:00:00+00:00,7709058.0,-0.8938876552751323,email,B2C,organic,0.1,818026.22,206.0,Muy Alto,Muy Alto,Pérdida
Persistent disintermediate artificial intelligence,2023-01-23 00:00:00+00:00,2023-08-21 00:00:00+00:00,1065915.0,-0.5247373571063358,email,B2B,promotion,0.84,506589.58,210.0,Muy Alto,Muy Alto,Pérdida
Self-enabling explicit interface,2023-01-23 00:00:00+00:00,2024-06-19 00:00:00+00:00,7121128.0,-0.9117804932027622,email,B2B,referral,0.94,628222.4,513.0,Muy Alto,Muy Alto,Pérdida
User-centric responsive software,2022-09-24 00:00:00+00:00,2023-08-04 00:00:00+00:00,5510595.0,-0.8220530922704354,email,B2B,paid,0.65,980593.34,314.0,Muy Alto,Muy Alto,Pérdida
Enterprise-wide bottom-line forecast,2023-01-27 00:00:00+00:00,2024-01-26 00:00:00+00:00,227013.0,-0.6046914053380202,email,B2C,promotion,0.86,89740.19,364.0,Muy Alto,Medio,Pérdida
Upgradable transitional productivity,2022-12-25 00:00:00+00:00,2024-05-12 00:00:00+00:00,2846011.0,-0.7913046189912829,social media,B2B,paid,0.37,593949.35,504.0,Muy Alto,Muy Alto,Pérdida
Assimilated asynchronous project,2023-03-30 00:00:00+00:00,2024-06-25 00:00:00+00:00,8147469.0,-0.9856950139975985,email,B2B,paid,0.98,116549.43,453.0,Muy Alto,Alto,Pérdida
Reverse-engineered 4thgeneration alliance,2022-10-10 00:00:00+00:00,2023-12-12 00:00:00+00:00,9940641.0,-0.9511804188482413,webinar,B2B,promotion,0.3,485297.93,428.0,Muy Alto,Muy Alto,Pérdida
Networked bi-directional help-desk,2023-03-23 00:00:00+00:00,2023-09-24 00:00:00+00:00,8976452.0,-0.9614189960576852,podcast,B2C,organic,0.8,346320.53,185.0,Muy Alto,Muy Alto,Pérdida
Diverse exuding superstructure,2022-09-07 00:00:00+00:00,2023-11-04 00:00:00+00:00,1176971.0,-0.8681850614840978,webinar,B2B,paid,0.24,155142.36,423.0,Muy Alto,Alto,Pérdida
Organized directional service-desk,2022-10-17 00:00:00+00:00,2024-05-11 00:00:00+00:00,440858.0,-0.7985604434988137,webinar,B2B,referral,0.71,88806.24,572.0,Muy Alto,Medio,Pérdida
Balanced 24hour intranet,2022-09-15 00:00:00+00:00,2024-04-11 00:00:00+00:00,3171222.0,-0.8348262184104425,email,B2C,paid,0.12,523802.73,574.0,Muy Alto,Muy Alto,Pérdida
Reactive well-modulated portal,2023-02-04 00:00:00+00:00,2023-09-02 00:00:00+00:00,3445595.0,-0.8252852932512381,social media,B2B,organic,0.6,601996.12,210.0,Muy Alto,Muy Alto,Pérdida
Realigned intangible application,2023-07-06 00:00:00+00:00,2024-01-24 00:00:00+00:00,3146843.0,-0.9531625155751335,email,B2B,promotion,0.48,147390.21,202.0,Muy Alto,Alto,Pérdida
Front-line web-enabled orchestration,2023-01-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,8974086.0,-0.946815159783403,social media,B2C,paid,0.21,477285.33,518.0,Muy Alto,Muy Alto,Pérdida
Polarized upward-trending frame,2023-03-23 00:00:00+00:00,2024-05-23 00:00:00+00:00,68062.0,6.637012429843378,webinar,B2B,paid,0.78,519790.34,427.0,Medio,Muy Alto,Alto
Persevering content-based archive,2022-12-27 00:00:00+00:00,2024-01-04 00:00:00+00:00,2179527.0,-0.8175611635001538,social media,B2B,promotion,0.89,397630.37,373.0,Muy Alto,Muy Alto,Pérdida
De-engineered content-based budgetary management,2022-09-10 00:00:00+00:00,2023-10-06 00:00:00+00:00,2932834.0,-0.968362103003443,social media,B2B,promotion,0.47,92788.7,391.0,Muy Alto,Medio,Pérdida
Inverse well-modulated forecast,2023-07-22 00:00:00+00:00,2024-07-11 00:00:00+00:00,763249.0,0.025681632075508755,webinar,B2B,organic,0.62,782850.48,355.0,Muy Alto,Muy Alto,Bajo
Progressive web-enabled concept,2022-11-16 00:00:00+00:00,2024-05-17 00:00:00+00:00,4689076.0,-0.9447774039064413,webinar,B2B,organic,0.64,258942.95,548.0,Muy Alto,Muy Alto,Pérdida
Visionary 4thgeneration help-desk,2022-11-23 00:00:00+00:00,2024-05-26 00:00:00+00:00,8185353.0,-0.8808881388499678,webinar,B2C,referral,0.17,974972.63,550.0,Muy Alto,Muy Alto,Pérdida
Up-sized attitude-oriented task-force,2023-07-02 00:00:00+00:00,2024-04-07 00:00:00+00:00,466354.0,0.48537227085004103,social media,B2C,promotion,0.46,692709.3,280.0,Muy Alto,Muy Alto,Bajo
Sharable secondary migration,2023-04-04 00:00:00+00:00,2023-09-21 00:00:00+00:00,315316.0,0.7480018457674205,webinar,B2C,referral,0.68,551172.95,170.0,Muy Alto,Muy Alto,Bajo
Quality-focused methodical policy,2022-10-23 00:00:00+00:00,2023-10-10 00:00:00+00:00,5142864.0,-0.9784518703975063,social media,B2C,referral,0.28,110819.1,352.0,Muy Alto,Alto,Pérdida
Distributed multimedia encryption,2022-08-16 00:00:00+00:00,2024-01-22 00:00:00+00:00,8372663.0,-0.9452627843733827,webinar,B2B,organic,0.13,458296.26,524.0,Muy Alto,Muy Alto,Pérdida
Switchable user-facing archive,2022-10-22 00:00:00+00:00,2024-06-11 00:00:00+00:00,8541727.0,-0.9403391375069702,webinar,B2C,referral,0.74,509606.8,598.0,Muy Alto,Muy Alto,Pérdida
Virtual bottom-line parallelism,2022-08-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,4408214.0,-0.7951546159056706,email,B2C,organic,0.49,903002.29,385.0,Muy Alto,Muy Alto,Pérdida
