campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,beneficio_neto,budget_cat,revenue_cat,roi_cat
Customizable directional paradigm,2023-01-20 00:00:00+00:00,2023-08-16 00:00:00+00:00,5446841.0,0.7,social media,B2C,paid,0.7,924154.29,208.0,-4522686.71,Muy Alto,Muy Alto,Bajo
Cross-platform holistic encryption,2023-07-27 00:00:00+00:00,2024-02-15 00:00:00+00:00,2939378.0,0.34,podcast,B2B,promotion,0.8,72323.84,203.0,-2867054.16,Muy Alto,Medio,Bajo
Vision-oriented encompassing system engine,2022-11-24 00:00:00+00:00,2024-03-22 00:00:00+00:00,914779.0,0.9,email,B2B,Referral,0.28,42048.95,484.0,-872730.05,Muy Alto,Bajo,Bajo
Ergonomic next generation throughput,2022-12-16 00:00:00+00:00,2024-03-25 00:00:00+00:00,6880122.0,0.6,social media,B2B,organic,0.65,482216.95,465.0,-6397905.05,Muy Alto,Muy Alto,Bajo
Vision-oriented 4thgeneration conglomeration,2023-01-18 00:00:00+00:00,2024-04-22 00:00:00+00:00,130917.0,0.91,podcast,B2C,organic,0.27,273231.88,460.0,142314.88,Alto,Muy Alto,Bajo
Ameliorated secondary data-warehouse,2023-04-29 00:00:00+00:00,2023-08-24 00:00:00+00:00,271686.0,0.74,social media,B2B,organic,0.1,704768.1,117.0,433082.1,Muy Alto,Muy Alto,Bajo
Programmable executive workforce,2022-11-22 00:00:00+00:00,2024-07-01 00:00:00+00:00,396829.0,0.95,webinar,B2B,paid,0.7,116505.36,587.0,-280323.64,Muy Alto,Alto,Bajo
Cross-group user-facing application,2023-02-27 00:00:00+00:00,2024-01-06 00:00:00+00:00,892277.0,0.9,podcast,B2C,promotion,0.0,617379.96,313.0,-274897.04000000004,Muy Alto,Muy Alto,Bajo
Secured systematic architecture,2022-11-26 00:00:00+00:00,2024-04-16 00:00:00+00:00,9691797.0,0.55,podcast,B2C,promotion,0.39,571977.28,507.0,-9119819.72,Muy Alto,Muy Alto,Bajo
Seamless bifurcated firmware,2022-09-06 00:00:00+00:00,2023-12-12 00:00:00+00:00,2832341.0,0.84,webinar,B2B,organic,0.9,984261.3,462.0,-1848079.7,Muy Alto,Muy Alto,Bajo
Intuitive directional website,2023-06-15 00:00:00+00:00,2024-01-07 00:00:00+00:00,6365618.0,0.17,podcast,B2B,Referral,0.4,77500.94,206.0,-6288117.06,Muy Alto,Medio,Bajo
Mandatory incremental throughput,2023-02-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,690841.0,0.51,podcast,B2B,organic,0.98,210953.33,489.0,-479887.67000000004,Muy Alto,Muy Alto,Bajo
Organic 24/7 secured line,2023-07-14 00:00:00+00:00,2023-10-06 00:00:00+00:00,6544741.0,0.5,email,B2B,paid,0.26,477907.76,84.0,-6066833.24,Muy Alto,Muy Alto,Bajo
User-friendly analyzing moratorium,2023-04-06 00:00:00+00:00,2024-03-16 00:00:00+00:00,2032853.0,0.99,email,B2B,organic,0.97,658107.7,345.0,-1374745.3,Muy Alto,Muy Alto,Bajo
Programmable discrete intranet,2023-03-05 00:00:00+00:00,2024-02-13 00:00:00+00:00,80419.0,0.5,social media,B2B,paid,0.96,567808.35,345.0,487389.35,Medio,Muy Alto,Bajo
Future-proofed empowering forecast,2022-12-11 00:00:00+00:00,2023-11-05 00:00:00+00:00,1903069.0,0.39,webinar,B2C,promotion,0.75,472138.22,329.0,-1430930.78,Muy Alto,Muy Alto,Bajo
Re-engineered solution-oriented core,2022-10-20 00:00:00+00:00,2024-02-11 00:00:00+00:00,61247.0,0.87,email,B2B,Referral,0.67,397435.21,479.0,336188.21,Medio,Muy Alto,Bajo
Diverse grid-enabled forecast,2022-11-18 00:00:00+00:00,2023-11-18 00:00:00+00:00,1127119.0,0.96,social media,B2C,Referral,0.81,538367.39,365.0,-588751.61,Muy Alto,Muy Alto,Bajo
Function-based motivating functionalities,2022-12-11 00:00:00+00:00,2024-03-18 00:00:00+00:00,2820384.0,0.64,email,B2C,organic,0.24,570246.17,463.0,-2250137.83,Muy Alto,Muy Alto,Bajo
User-centric holistic firmware,2022-08-06 00:00:00+00:00,2024-03-12 00:00:00+00:00,9995715.0,0.63,webinar,B2C,Referral,0.62,430498.24,584.0,-9565216.76,Muy Alto,Muy Alto,Bajo
Virtual real-time architecture,2023-06-06 00:00:00+00:00,2023-12-25 00:00:00+00:00,2767542.0,0.7,email,B2B,paid,0.1,672667.53,202.0,-2094874.47,Muy Alto,Muy Alto,Bajo
Open-source 6thgeneration secured line,2023-03-07 00:00:00+00:00,2023-09-30 00:00:00+00:00,1248075.0,0.9,podcast,B2B,promotion,0.82,847778.95,207.0,-400296.05000000005,Muy Alto,Muy Alto,Bajo
Reduced leadingedge architecture,2023-04-23 00:00:00+00:00,2024-06-06 00:00:00+00:00,8411933.0,0.93,email,B2C,organic,0.64,816593.62,410.0,-7595339.38,Muy Alto,Muy Alto,Bajo
Fully-configurable 24/7 knowledgebase,2022-09-30 00:00:00+00:00,2024-01-20 00:00:00+00:00,665822.0,0.64,webinar,B2C,promotion,0.3,273952.77,477.0,-391869.23,Muy Alto,Muy Alto,Bajo
Organic 4thgeneration neural-net,2022-10-29 00:00:00+00:00,2024-04-16 00:00:00+00:00,5382621.0,0.2,podcast,B2B,promotion,0.2,683796.77,535.0,-4698824.23,Muy Alto,Muy Alto,Bajo
Centralized 3rdgeneration budgetary management,2023-07-26 00:00:00+00:00,2023-08-11 00:00:00+00:00,851250.0,0.56,webinar,B2C,promotion,0.14,364648.39,16.0,-486601.61,Muy Alto,Muy Alto,Bajo
Persevering web-enabled workforce,2023-06-23 00:00:00+00:00,2024-01-03 00:00:00+00:00,792208.0,0.6,social media,B2C,paid,0.3,29575.48,194.0,-762632.52,Muy Alto,Bajo,Bajo
Multi-channeled high-level interface,2023-04-06 00:00:00+00:00,2023-08-15 00:00:00+00:00,465605.0,0.67,social media,B2C,paid,0.85,489015.27,131.0,23410.27000000002,Muy Alto,Muy Alto,Bajo
Re-contextualized high-level project,2023-07-13 00:00:00+00:00,2024-04-22 00:00:00+00:00,5685062.0,0.84,social media,B2C,Referral,0.98,383111.17,284.0,-5301950.83,Muy Alto,Muy Alto,Bajo
Right-sized tangible product,2022-11-09 00:00:00+00:00,2024-02-16 00:00:00+00:00,9485615.0,0.84,email,B2B,Referral,0.23,283711.16,464.0,-9201903.84,Muy Alto,Muy Alto,Bajo
Diverse leadingedge initiative,2022-10-17 00:00:00+00:00,2023-08-16 00:00:00+00:00,9338363.0,0.6,email,B2B,promotion,0.76,749909.68,303.0,-8588453.32,Muy Alto,Muy Alto,Bajo
Intuitive transitional hardware,2023-02-25 00:00:00+00:00,2023-09-15 00:00:00+00:00,2618357.0,0.47,social media,B2B,Referral,0.26,429790.1,202.0,-2188566.9,Muy Alto,Muy Alto,Bajo
Diverse 6thgeneration superstructure,2022-08-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,9912836.0,0.9,email,B2B,promotion,0.78,852334.6,518.0,-9060501.4,Muy Alto,Muy Alto,Bajo
Enhanced 4thgeneration hierarchy,2022-08-06 00:00:00+00:00,2024-04-17 00:00:00+00:00,8064764.0,0.9,webinar,B2B,Referral,0.81,872159.47,620.0,-7192604.53,Muy Alto,Muy Alto,Bajo
Function-based systematic emulation,2023-03-02 00:00:00+00:00,2024-07-12 00:00:00+00:00,3088342.0,0.63,social media,B2B,paid,0.37,873342.13,498.0,-2214999.87,Muy Alto,Muy Alto,Bajo
Managed asymmetric array,2022-10-14 00:00:00+00:00,2024-07-06 00:00:00+00:00,2499861.0,0.4,webinar,B2C,organic,0.39,71257.79,631.0,-2428603.21,Muy Alto,Medio,Bajo
Enterprise-wide mission-critical utilization,2022-09-29 00:00:00+00:00,2023-09-05 00:00:00+00:00,6411981.0,0.26,social media,B2B,promotion,0.93,211910.58,341.0,-6200070.42,Muy Alto,Muy Alto,Bajo
Adaptive clear-thinking methodology,2023-05-16 00:00:00+00:00,2024-03-21 00:00:00+00:00,6059485.0,0.49,social media,B2C,paid,0.82,850376.61,310.0,-5209108.39,Muy Alto,Muy Alto,Bajo
Networked zero administration model,2022-11-01 00:00:00+00:00,2023-11-06 00:00:00+00:00,2241136.0,0.51,webinar,B2C,organic,0.4,102385.82,370.0,-2138750.18,Muy Alto,Alto,Bajo
Seamless well-modulated open architecture,2022-08-28 00:00:00+00:00,2023-10-09 00:00:00+00:00,4790632.0,0.74,webinar,B2B,promotion,0.45,871834.53,407.0,-3918797.4699999997,Muy Alto,Muy Alto,Bajo
Exclusive radical installation,2022-08-09 00:00:00+00:00,2023-10-10 00:00:00+00:00,2854876.0,0.28,email,B2C,promotion,0.6,181056.53,427.0,-2673819.47,Muy Alto,Alto,Bajo
Intuitive bottom-line algorithm,2022-08-27 00:00:00+00:00,2024-05-06 00:00:00+00:00,4425143.0,0.72,email,B2B,Referral,0.16,846562.3,618.0,-3578580.7,Muy Alto,Muy Alto,Bajo
Compatible stable extranet,2022-12-24 00:00:00+00:00,2023-11-13 00:00:00+00:00,3289511.0,0.8,podcast,B2C,Referral,0.1,136858.12,324.0,-3152652.88,Muy Alto,Alto,Bajo
Progressive secondary synergy,2022-11-08 00:00:00+00:00,2024-04-06 00:00:00+00:00,559859.0,0.9,social media,B2B,organic,0.59,505421.93,515.0,-54437.07000000001,Muy Alto,Muy Alto,Bajo
Sharable next generation ability,2022-12-15 00:00:00+00:00,2024-02-19 00:00:00+00:00,2321227.0,0.13,webinar,B2C,Referral,0.49,830178.2,431.0,-1491048.8,Muy Alto,Muy Alto,Bajo
Devolved value-added support,2023-07-02 00:00:00+00:00,2024-02-13 00:00:00+00:00,420516.0,0.32,email,B2B,Referral,0.25,287690.5,226.0,-132825.5,Muy Alto,Muy Alto,Bajo
Front-line full-range matrices,2022-08-04 00:00:00+00:00,2023-08-10 00:00:00+00:00,7982952.0,0.69,email,B2B,paid,0.7,472828.97,371.0,-7510123.03,Muy Alto,Muy Alto,Bajo
Grass-roots foreground firmware,2023-04-26 00:00:00+00:00,2024-04-21 00:00:00+00:00,9616966.0,0.28,podcast,B2C,organic,0.45,455474.93,361.0,-9161491.07,Muy Alto,Muy Alto,Bajo
Implemented reciprocal monitoring,2023-02-26 00:00:00+00:00,2024-06-19 00:00:00+00:00,7272222.0,0.79,email,B2C,organic,0.1,619138.31,479.0,-6653083.6899999995,Muy Alto,Muy Alto,Bajo
Reverse-engineered foreground approach,2023-02-22 00:00:00+00:00,2024-02-18 00:00:00+00:00,521252.0,0.16,webinar,B2C,Referral,0.8,27754.76,361.0,-493497.24,Muy Alto,Bajo,Bajo
Open-source maximized projection,2023-03-23 00:00:00+00:00,2024-03-22 00:00:00+00:00,7734013.0,0.53,webinar,B2B,Referral,0.74,347402.29,365.0,-7386610.71,Muy Alto,Muy Alto,Bajo
Intuitive object-oriented moratorium,2022-12-18 00:00:00+00:00,2023-08-28 00:00:00+00:00,9776351.0,0.23,webinar,B2C,promotion,0.7,244772.45,253.0,-9531578.55,Muy Alto,Muy Alto,Bajo
Virtual 4thgeneration Graphical User Interface,2023-07-27 00:00:00+00:00,2024-03-27 00:00:00+00:00,1546329.0,0.38,social media,B2B,promotion,0.6,963251.51,244.0,-583077.49,Muy Alto,Muy Alto,Bajo
Reactive multi-tasking extranet,2022-12-26 00:00:00+00:00,2023-08-25 00:00:00+00:00,5121038.0,0.82,email,B2B,Referral,0.83,536138.69,242.0,-4584899.3100000005,Muy Alto,Muy Alto,Bajo
Enhanced heuristic archive,2023-05-05 00:00:00+00:00,2023-09-26 00:00:00+00:00,1606641.0,0.67,email,B2B,paid,0.3,508865.73,144.0,-1097775.27,Muy Alto,Muy Alto,Bajo
Stand-alone bandwidth-monitored capability,2022-10-10 00:00:00+00:00,2024-03-29 00:00:00+00:00,8938319.0,0.83,social media,B2C,Referral,0.77,828963.15,536.0,-8109355.85,Muy Alto,Muy Alto,Bajo
Open-source coherent archive,2022-08-18 00:00:00+00:00,2024-06-11 00:00:00+00:00,465580.0,0.88,podcast,B2B,organic,0.4,315646.86,663.0,-149933.14,Muy Alto,Muy Alto,Bajo
Future-proofed coherent core,2022-09-14 00:00:00+00:00,2024-05-08 00:00:00+00:00,621783.0,0.28,social media,B2C,paid,0.2,317338.48,602.0,-304444.52,Muy Alto,Muy Alto,Bajo
Decentralized radical emulation,2022-09-18 00:00:00+00:00,2024-04-23 00:00:00+00:00,202015.0,0.76,webinar,B2B,promotion,0.89,335385.42,583.0,133370.41999999998,Muy Alto,Muy Alto,Bajo
Team-oriented content-based data-warehouse,2022-11-12 00:00:00+00:00,2024-01-15 00:00:00+00:00,4364399.0,0.26,social media,B2C,organic,0.55,470023.84,429.0,-3894375.16,Muy Alto,Muy Alto,Bajo
Expanded tangible capacity,2023-06-26 00:00:00+00:00,2024-05-07 00:00:00+00:00,2064717.0,0.87,email,B2B,organic,0.78,759838.76,316.0,-1304878.24,Muy Alto,Muy Alto,Bajo
Secured methodical system engine,2023-05-30 00:00:00+00:00,2024-05-08 00:00:00+00:00,2978193.0,0.51,webinar,B2C,paid,0.46,567832.12,344.0,-2410360.88,Muy Alto,Muy Alto,Bajo
Synergistic well-modulated conglomeration,2023-04-23 00:00:00+00:00,2023-11-23 00:00:00+00:00,8900341.0,0.87,podcast,B2C,Referral,0.18,643537.76,214.0,-8256803.24,Muy Alto,Muy Alto,Bajo
Programmable dedicated ability,2022-10-18 00:00:00+00:00,2024-03-26 00:00:00+00:00,3483817.0,0.55,podcast,B2B,promotion,0.22,286374.76,525.0,-3197442.24,Muy Alto,Muy Alto,Bajo
Public-key dynamic synergy,2023-03-03 00:00:00+00:00,2023-11-16 00:00:00+00:00,82098.0,0.91,webinar,B2B,paid,0.78,725706.76,258.0,643608.76,Medio,Muy Alto,Bajo
Synergistic actuating benchmark,2022-12-14 00:00:00+00:00,2023-08-20 00:00:00+00:00,1302435.0,0.2,email,B2C,organic,0.99,882368.6,249.0,-420066.4,Muy Alto,Muy Alto,Bajo
Optional client-driven approach,2022-12-30 00:00:00+00:00,2024-07-02 00:00:00+00:00,918095.0,0.39,webinar,B2C,organic,0.97,93102.44,550.0,-824992.56,Muy Alto,Medio,Bajo
Cloned exuding matrices,2023-06-03 00:00:00+00:00,2024-07-16 00:00:00+00:00,4621577.0,0.65,email,B2C,paid,0.63,326486.31,409.0,-4295090.69,Muy Alto,Muy Alto,Bajo
Expanded zero tolerance adapter,2022-09-19 00:00:00+00:00,2024-05-07 00:00:00+00:00,8047462.0,0.86,email,B2C,organic,0.7,394021.52,596.0,-7653440.48,Muy Alto,Muy Alto,Bajo
Persistent incremental installation,2022-12-22 00:00:00+00:00,2024-01-27 00:00:00+00:00,1278978.0,0.73,email,B2C,paid,0.4,516246.2,401.0,-762731.8,Muy Alto,Muy Alto,Bajo
Integrated full-range encoding,2023-06-18 00:00:00+00:00,2024-03-01 00:00:00+00:00,4281839.0,0.12,email,B2B,promotion,0.14,778282.87,257.0,-3503556.13,Muy Alto,Muy Alto,Bajo
Total system-worthy framework,2023-01-16 00:00:00+00:00,2023-08-10 00:00:00+00:00,7709058.0,0.67,email,B2C,organic,0.1,818026.22,206.0,-6891031.78,Muy Alto,Muy Alto,Bajo
Persistent disintermediate artificial intelligence,2023-01-23 00:00:00+00:00,2023-08-21 00:00:00+00:00,1065915.0,0.7,email,B2B,promotion,0.84,506589.58,210.0,-559325.4199999999,Muy Alto,Muy Alto,Bajo
Self-enabling explicit interface,2023-01-23 00:00:00+00:00,2024-06-19 00:00:00+00:00,7121128.0,0.85,email,B2B,Referral,0.94,628222.4,513.0,-6492905.6,Muy Alto,Muy Alto,Bajo
User-centric responsive software,2022-09-24 00:00:00+00:00,2023-08-04 00:00:00+00:00,5510595.0,0.39,email,B2B,paid,0.65,980593.34,314.0,-4530001.66,Muy Alto,Muy Alto,Bajo
Enterprise-wide bottom-line forecast,2023-01-27 00:00:00+00:00,2024-01-26 00:00:00+00:00,227013.0,0.21,email,B2C,promotion,0.86,89740.19,364.0,-137272.81,Muy Alto,Medio,Bajo
Upgradable transitional productivity,2022-12-25 00:00:00+00:00,2024-05-12 00:00:00+00:00,2846011.0,0.0,social media,B2B,paid,0.37,593949.35,504.0,-2252061.65,Muy Alto,Muy Alto,Pérdida
Assimilated asynchronous project,2023-03-30 00:00:00+00:00,2024-06-25 00:00:00+00:00,8147469.0,0.34,email,B2B,paid,0.98,116549.43,453.0,-8030919.57,Muy Alto,Alto,Bajo
Reverse-engineered 4thgeneration alliance,2022-10-10 00:00:00+00:00,2023-12-12 00:00:00+00:00,9940641.0,0.77,webinar,B2B,promotion,0.3,485297.93,428.0,-9455343.07,Muy Alto,Muy Alto,Bajo
Networked bi-directional help-desk,2023-03-23 00:00:00+00:00,2023-09-24 00:00:00+00:00,8976452.0,0.5,podcast,B2C,organic,0.8,346320.53,185.0,-8630131.47,Muy Alto,Muy Alto,Bajo
Diverse exuding superstructure,2022-09-07 00:00:00+00:00,2023-11-04 00:00:00+00:00,1176971.0,0.63,webinar,B2B,paid,0.24,155142.36,423.0,-1021828.64,Muy Alto,Alto,Bajo
Organized directional service-desk,2022-10-17 00:00:00+00:00,2024-05-11 00:00:00+00:00,440858.0,0.97,webinar,B2B,Referral,0.71,88806.24,572.0,-352051.76,Muy Alto,Medio,Bajo
Balanced 24hour intranet,2022-09-15 00:00:00+00:00,2024-04-11 00:00:00+00:00,3171222.0,0.5,email,B2C,paid,0.12,523802.73,574.0,-2647419.27,Muy Alto,Muy Alto,Bajo
Reactive well-modulated portal,2023-02-04 00:00:00+00:00,2023-09-02 00:00:00+00:00,3445595.0,0.4,social media,B2B,organic,0.6,601996.12,210.0,-2843598.88,Muy Alto,Muy Alto,Bajo
Realigned intangible application,2023-07-06 00:00:00+00:00,2024-01-24 00:00:00+00:00,3146843.0,0.47,email,B2B,promotion,0.48,147390.21,202.0,-2999452.79,Muy Alto,Alto,Bajo
Front-line web-enabled orchestration,2023-01-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,8974086.0,0.37,social media,B2C,paid,0.21,477285.33,518.0,-8496800.67,Muy Alto,Muy Alto,Bajo
Polarized upward-trending frame,2023-03-23 00:00:00+00:00,2024-05-23 00:00:00+00:00,68062.0,0.55,webinar,B2B,paid,0.78,519790.34,427.0,451728.34,Medio,Muy Alto,Bajo
Persevering content-based archive,2022-12-27 00:00:00+00:00,2024-01-04 00:00:00+00:00,2179527.0,0.55,social media,B2B,promotion,0.89,397630.37,373.0,-1781896.63,Muy Alto,Muy Alto,Bajo
De-engineered content-based budgetary management,2022-09-10 00:00:00+00:00,2023-10-06 00:00:00+00:00,2932834.0,0.4,social media,B2B,promotion,0.47,92788.7,391.0,-2840045.3,Muy Alto,Medio,Bajo
Inverse well-modulated forecast,2023-07-22 00:00:00+00:00,2024-07-11 00:00:00+00:00,763249.0,0.12,webinar,B2B,organic,0.62,782850.48,355.0,19601.47999999998,Muy Alto,Muy Alto,Bajo
Progressive web-enabled concept,2022-11-16 00:00:00+00:00,2024-05-17 00:00:00+00:00,4689076.0,0.26,webinar,B2B,organic,0.64,258942.95,548.0,-4430133.05,Muy Alto,Muy Alto,Bajo
Visionary 4thgeneration help-desk,2022-11-23 00:00:00+00:00,2024-05-26 00:00:00+00:00,8185353.0,0.54,webinar,B2C,Referral,0.17,974972.63,550.0,-7210380.37,Muy Alto,Muy Alto,Bajo
Up-sized attitude-oriented task-force,2023-07-02 00:00:00+00:00,2024-04-07 00:00:00+00:00,466354.0,0.4,social media,B2C,promotion,0.46,692709.3,280.0,226355.30000000005,Muy Alto,Muy Alto,Bajo
Sharable secondary migration,2023-04-04 00:00:00+00:00,2023-09-21 00:00:00+00:00,315316.0,0.5,webinar,B2C,Referral,0.68,551172.95,170.0,235856.94999999995,Muy Alto,Muy Alto,Bajo
Quality-focused methodical policy,2022-10-23 00:00:00+00:00,2023-10-10 00:00:00+00:00,5142864.0,0.26,social media,B2C,Referral,0.28,110819.1,352.0,-5032044.9,Muy Alto,Alto,Bajo
Distributed multimedia encryption,2022-08-16 00:00:00+00:00,2024-01-22 00:00:00+00:00,8372663.0,0.5,webinar,B2B,organic,0.13,458296.26,524.0,-7914366.74,Muy Alto,Muy Alto,Bajo
Switchable user-facing archive,2022-10-22 00:00:00+00:00,2024-06-11 00:00:00+00:00,8541727.0,0.78,webinar,B2C,Referral,0.74,509606.8,598.0,-8032120.2,Muy Alto,Muy Alto,Bajo
