campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,beneficio_neto,budget_cat,revenue_cat,roi_cat
Organized directional service-desk,2022-10-17 00:00:00+00:00,2024-05-11 00:00:00+00:00,44085.8,101.44,webinar,B2B,Referral,0.71,88806.24,572.0,44720.44,Medio,Medio,Medio
Balanced 24hour intranet,2022-09-15 00:00:00+00:00,2024-04-11 00:00:00+00:00,31712.22,1551.74,email,B2C,paid,0.12,523802.73,574.0,492090.51,Medio,Alto,Alto
Reactive well-modulated portal,2023-02-04 00:00:00+00:00,2023-09-02 00:00:00+00:00,34455.95,1647.15,social media,B2B,organic,0.6,601996.12,210.0,567540.17,Medio,Alto,Alto
Realigned intangible application,2023-07-06 00:00:00+00:00,2024-01-24 00:00:00+00:00,31468.43,368.37,email,B2B,promotion,0.48,147390.21,202.0,115921.78,Medio,Alto,Medio
Front-line web-enabled orchestration,2023-01-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,89740.86,431.85,social media,B2C,paid,0.21,477285.33,518.0,387544.47000000003,Medio,Alto,Medio
Polarized upward-trending frame,2023-03-23 00:00:00+00:00,2024-05-23 00:00:00+00:00,6806.2,7537.01,webinar,B2B,paid,0.78,519790.34,427.0,512984.14,Bajo,Alto,
Persevering content-based archive,2022-12-27 00:00:00+00:00,2024-01-04 00:00:00+00:00,21795.27,1724.39,social media,B2B,promotion,0.89,397630.37,373.0,375835.1,Medio,Alto,Alto
De-engineered content-based budgetary management,2022-09-10 00:00:00+00:00,2023-10-06 00:00:00+00:00,29328.34,216.38,social media,B2B,promotion,0.47,92788.7,391.0,63460.36,Medio,Medio,Medio
Inverse well-modulated forecast,2023-07-22 00:00:00+00:00,2024-07-11 00:00:00+00:00,7632.49,10156.82,webinar,B2B,organic,0.62,782850.48,355.0,775217.99,Bajo,Alto,
Progressive web-enabled concept,2022-11-16 00:00:00+00:00,2024-05-17 00:00:00+00:00,46890.76,452.23,webinar,B2B,organic,0.64,258942.95,548.0,212052.19,Medio,Alto,Medio
Visionary 4thgeneration help-desk,2022-11-23 00:00:00+00:00,2024-05-26 00:00:00+00:00,81853.53,1091.12,webinar,B2C,Referral,0.17,974972.63,550.0,893119.1,Medio,Alto,Alto
Up-sized attitude-oriented task-force,2023-07-02 00:00:00+00:00,2024-04-07 00:00:00+00:00,46635.4,1385.37,social media,B2C,promotion,0.46,692709.3,280.0,646073.9,Medio,Alto,Alto
Sharable secondary migration,2023-04-04 00:00:00+00:00,2023-09-21 00:00:00+00:00,31531.6,1648.0,webinar,B2C,Referral,0.68,551172.95,170.0,519641.35,Medio,Alto,Alto
Quality-focused methodical policy,2022-10-23 00:00:00+00:00,2023-10-10 00:00:00+00:00,51428.64,115.48,social media,B2C,Referral,0.28,110819.1,352.0,59390.46000000001,Medio,Alto,Medio
Distributed multimedia encryption,2022-08-16 00:00:00+00:00,2024-01-22 00:00:00+00:00,83726.63,447.37,webinar,B2B,organic,0.13,458296.26,524.0,374569.63,Medio,Alto,Medio
Switchable user-facing archive,2022-10-22 00:00:00+00:00,2024-06-11 00:00:00+00:00,85417.27,496.61,webinar,B2C,Referral,0.74,509606.8,598.0,424189.52999999997,Medio,Alto,Medio
Virtual bottom-line parallelism,2022-08-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,44082.14,1948.45,email,B2C,organic,0.49,903002.29,385.0,858920.15,Medio,Alto,Alto
Customer-focused mobile Graphic Interface,2023-01-19 00:00:00+00:00,2023-11-21 00:00:00+00:00,61946.3,251.52,webinar,B2C,paid,0.85,217755.18,306.0,155808.88,Medio,Alto,Medio
Networked asynchronous standardization,2023-06-06 00:00:00+00:00,2024-01-06 00:00:00+00:00,50168.89,1117.39,email,B2B,Referral,0.67,610750.16,214.0,560581.27,Medio,Alto,Alto
Persevering coherent concept,2022-09-15 00:00:00+00:00,2023-12-13 00:00:00+00:00,54331.15,1726.84,social media,B2B,promotion,0.39,992544.71,454.0,938213.5599999999,Medio,Alto,Alto
Secured systemic groupware,2022-08-28 00:00:00+00:00,2023-10-17 00:00:00+00:00,72529.72,33.98,email,B2C,Referral,0.24,97176.72,415.0,24647.0,Medio,Medio,Medio
Team-oriented motivating productivity,2022-09-21 00:00:00+00:00,2023-09-06 00:00:00+00:00,40881.17,1586.79,podcast,B2B,promotion,0.1,689581.23,350.0,648700.0599999999,Medio,Alto,Alto
Seamless exuding model,2022-11-20 00:00:00+00:00,2023-08-05 00:00:00+00:00,68885.7,135.3,webinar,B2B,organic,0.21,162090.83,258.0,93205.12999999999,Medio,Alto,Medio
Cross-platform bandwidth-monitored model,2023-02-23 00:00:00+00:00,2023-09-16 00:00:00+00:00,48358.0,950.18,email,B2C,paid,0.39,507844.26,205.0,459486.26,Medio,Alto,Medio
Face-to-face high-level synergy,2022-08-15 00:00:00+00:00,2024-06-03 00:00:00+00:00,98289.74,726.11,webinar,B2B,paid,0.79,811980.83,658.0,713691.09,Medio,Alto,Medio
Compatible eco-centric access,2022-08-24 00:00:00+00:00,2023-09-04 00:00:00+00:00,4016.62,19146.42,social media,B2B,Referral,0.99,773055.56,376.0,769038.9400000001,Bajo,Alto,
Down-sized web-enabled data-warehouse,2023-04-08 00:00:00+00:00,2024-06-03 00:00:00+00:00,41419.79,598.07,social media,B2B,organic,0.35,289139.49,422.0,247719.69999999998,Medio,Alto,Medio
