campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,beneficio_neto,budget_cat,revenue_cat,roi_cat
Optional actuating standardization,2023-07-04 00:00:00+00:00,2024-05-06 00:00:00+00:00,14810620.0,-0.967757712371258,webinar,B2B,Referral,0.45,477528.27,307.0,-14333091.73,Muy Alto,Muy Alto,Pérdida
Innovative web-enabled function,2022-11-05 00:00:00+00:00,2023-09-05 00:00:00+00:00,3684830.0,-0.9988626476662423,webinar,B2C,Referral,0.1,4190.95,304.0,-3680639.05,Muy Alto,Muy Bajo,Pérdida
Configurable methodical service-desk,2023-03-23 00:00:00+00:00,2023-11-07 00:00:00+00:00,21510430.0,-0.998922529675139,email,B2B,Referral,0.92,23176.85,229.0,-21487253.15,Muy Alto,Bajo,Pérdida
Cross-group empowering attitude,2022-09-14 00:00:00+00:00,2024-01-25 00:00:00+00:00,99520930.0,-0.996120072933402,podcast,B2C,paid,0.65,386133.95,498.0,-99134796.05,Muy Alto,Muy Alto,Pérdida
Intuitive didactic installation,2023-06-24 00:00:00+00:00,2024-03-27 00:00:00+00:00,19213460.0,-0.9518423787282456,email,B2B,organic,0.96,925274.53,277.0,-18288185.47,Muy Alto,Muy Alto,Pérdida
Fundamental dedicated encryption,2023-07-16 00:00:00+00:00,2023-08-17 00:00:00+00:00,17573230.0,-0.9737919699451951,email,B2B,promotion,0.79,460559.74,32.0,-17112670.26,Muy Alto,Muy Alto,Pérdida
De-engineered 4thgeneration moratorium,2022-09-26 00:00:00+00:00,2024-05-30 00:00:00+00:00,2539640.0,-0.884674382983415,email,B2C,promotion,0.1,292885.55,612.0,-2246754.45,Muy Alto,Muy Alto,Pérdida
Managed upward-trending website,2023-02-07 00:00:00+00:00,2024-02-07 00:00:00+00:00,34644220.0,-0.9861743075756938,podcast,B2B,Referral,0.72,478980.33,365.0,-34165239.67,Muy Alto,Muy Alto,Pérdida
Self-enabling human-resource infrastructure,2023-04-20 00:00:00+00:00,2024-01-09 00:00:00+00:00,60274590.0,-0.983839973693724,webinar,B2B,organic,0.91,974038.96,264.0,-59300551.04,Muy Alto,Muy Alto,Pérdida
Cross-platform 24/7 archive,2023-01-16 00:00:00+00:00,2024-07-15 00:00:00+00:00,79680620.0,-0.9945341243579681,email,B2B,promotion,0.96,435524.36,546.0,-79245095.64,Muy Alto,Muy Alto,Pérdida
Future-proofed local forecast,2023-08-01 00:00:00+00:00,2023-08-11 00:00:00+00:00,46775630.0,-0.9825834033662401,webinar,B2B,Referral,0.75,814672.28,10.0,-45960957.72,Muy Alto,Muy Alto,Pérdida
Horizontal hybrid instruction set,2022-08-26 00:00:00+00:00,2024-07-24 00:00:00+00:00,4836650.0,-0.9915220348795136,social media,B2B,promotion,0.87,41004.95,698.0,-4795645.05,Muy Alto,Bajo,Pérdida
Inverse contextually-based neural-net,2023-06-26 00:00:00+00:00,2024-01-28 00:00:00+00:00,8497340.0,-0.9540165934280611,podcast,B2C,organic,0.16,390736.64,216.0,-8106603.36,Muy Alto,Muy Alto,Pérdida
Polarized hybrid system engine,2023-02-15 00:00:00+00:00,2023-11-17 00:00:00+00:00,3734470.0,-0.8758748952327907,email,B2C,organic,0.43,463541.48,275.0,-3270928.52,Muy Alto,Muy Alto,Pérdida
Managed analyzing service-desk,2023-07-05 00:00:00+00:00,2023-10-09 00:00:00+00:00,14391980.0,-0.9682783466903094,email,B2C,promotion,0.83,456537.4,96.0,-13935442.6,Muy Alto,Muy Alto,Pérdida
Seamless clear-thinking product,2022-11-18 00:00:00+00:00,2023-10-05 00:00:00+00:00,99838630.0,-0.9998590366274056,email,B2B,organic,0.18,14073.59,321.0,-99824556.41,Muy Alto,Bajo,Pérdida
Networked local adapter,2022-10-17 00:00:00+00:00,2024-07-03 00:00:00+00:00,29076120.0,-0.9673852787098141,social media,B2B,Referral,0.1,948309.55,625.0,-28127810.45,Muy Alto,Muy Alto,Pérdida
Open-architected neutral open system,2023-04-19 00:00:00+00:00,2023-09-20 00:00:00+00:00,87963280.0,-0.98870089007595,podcast,B2B,promotion,0.57,993906.77,154.0,-86969373.23,Muy Alto,Muy Alto,Pérdida
Secured optimal website,2023-05-25 00:00:00+00:00,2023-12-12 00:00:00+00:00,5393580.0,-0.8222601463221089,social media,B2C,paid,0.4,958654.12,201.0,-4434925.88,Muy Alto,Muy Alto,Pérdida
Seamless zero-defect portal,2022-08-12 00:00:00+00:00,2024-07-19 00:00:00+00:00,7127710.0,-0.8691270253699995,email,B2B,paid,0.56,932824.61,707.0,-6194885.39,Muy Alto,Muy Alto,Pérdida
Configurable eco-centric capability,2022-10-02 00:00:00+00:00,2024-03-09 00:00:00+00:00,1596820.0,-0.7307102240703398,social media,B2C,paid,0.15,430007.3,524.0,-1166812.7,Muy Alto,Muy Alto,Pérdida
Customizable directional paradigm,2023-01-20 00:00:00+00:00,2023-08-16 00:00:00+00:00,54468410.0,-0.9830332060363062,social media,B2C,paid,0.7,924154.29,208.0,-53544255.71,Muy Alto,Muy Alto,Pérdida
Cross-platform holistic encryption,2023-07-27 00:00:00+00:00,2024-02-15 00:00:00+00:00,29393780.0,-0.997539484884217,podcast,B2B,promotion,0.8,72323.84,203.0,-29321456.16,Muy Alto,Medio,Pérdida
Vision-oriented encompassing system engine,2022-11-24 00:00:00+00:00,2024-03-22 00:00:00+00:00,9147790.0,-0.99540337611598,email,B2B,Referral,0.28,42048.95,484.0,-9105741.05,Muy Alto,Bajo,Pérdida
Ergonomic next generation throughput,2022-12-16 00:00:00+00:00,2024-03-25 00:00:00+00:00,68801220.0,-0.9929911569882045,social media,B2B,organic,0.65,482216.95,465.0,-68319003.05,Muy Alto,Muy Alto,Pérdida
Vision-oriented 4thgeneration conglomeration,2023-01-18 00:00:00+00:00,2024-04-22 00:00:00+00:00,1309170.0,-0.7912938121099627,podcast,B2C,organic,0.27,273231.88,460.0,-1035938.12,Muy Alto,Muy Alto,Pérdida
Ameliorated secondary data-warehouse,2023-04-29 00:00:00+00:00,2023-08-24 00:00:00+00:00,2716860.0,-0.7405946202601532,social media,B2B,organic,0.1,704768.1,117.0,-2012091.9,Muy Alto,Muy Alto,Pérdida
Programmable executive workforce,2022-11-22 00:00:00+00:00,2024-07-01 00:00:00+00:00,3968290.0,-0.9706409158604841,webinar,B2B,paid,0.7,116505.36,587.0,-3851784.64,Muy Alto,Alto,Pérdida
Cross-group user-facing application,2023-02-27 00:00:00+00:00,2024-01-06 00:00:00+00:00,8922770.0,-0.9308084866022547,podcast,B2C,promotion,0.0,617379.96,313.0,-8305390.04,Muy Alto,Muy Alto,Pérdida
Secured systematic architecture,2022-11-26 00:00:00+00:00,2024-04-16 00:00:00+00:00,96917970.0,-0.9940983361496325,podcast,B2C,promotion,0.39,571977.28,507.0,-96345992.72,Muy Alto,Muy Alto,Pérdida
Seamless bifurcated firmware,2022-09-06 00:00:00+00:00,2023-12-12 00:00:00+00:00,28323410.0,-0.9652491949239163,webinar,B2B,organic,0.9,984261.3,462.0,-27339148.7,Muy Alto,Muy Alto,Pérdida
Intuitive directional website,2023-06-15 00:00:00+00:00,2024-01-07 00:00:00+00:00,63656180.0,-0.9987825072129682,podcast,B2B,Referral,0.4,77500.94,206.0,-63578679.06,Muy Alto,Medio,Pérdida
Mandatory incremental throughput,2023-02-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,6908410.0,-0.96946427180784,podcast,B2B,organic,0.98,210953.33,489.0,-6697456.67,Muy Alto,Muy Alto,Pérdida
Organic 24/7 secured line,2023-07-14 00:00:00+00:00,2023-10-06 00:00:00+00:00,65447410.0,-0.9926978354070849,email,B2B,paid,0.26,477907.76,84.0,-64969502.24,Muy Alto,Muy Alto,Pérdida
User-friendly analyzing moratorium,2023-04-06 00:00:00+00:00,2024-03-16 00:00:00+00:00,20328530.0,-0.9676263999413632,email,B2B,organic,0.97,658107.7,345.0,-19670422.3,Muy Alto,Muy Alto,Pérdida
Programmable discrete intranet,2023-03-05 00:00:00+00:00,2024-02-13 00:00:00+00:00,804190.0,-0.29393756450590036,social media,B2B,paid,0.96,567808.35,345.0,-236381.65000000002,Muy Alto,Muy Alto,Pérdida
Future-proofed empowering forecast,2022-12-11 00:00:00+00:00,2023-11-05 00:00:00+00:00,19030690.0,-0.9751906935586677,webinar,B2C,promotion,0.75,472138.22,329.0,-18558551.78,Muy Alto,Muy Alto,Pérdida
Re-engineered solution-oriented core,2022-10-20 00:00:00+00:00,2024-02-11 00:00:00+00:00,612470.0,-0.3510944046238999,email,B2B,Referral,0.67,397435.21,479.0,-215034.78999999998,Muy Alto,Muy Alto,Pérdida
Diverse grid-enabled forecast,2022-11-18 00:00:00+00:00,2023-11-18 00:00:00+00:00,11271190.0,-0.952235088752829,social media,B2C,Referral,0.81,538367.39,365.0,-10732822.61,Muy Alto,Muy Alto,Pérdida
Function-based motivating functionalities,2022-12-11 00:00:00+00:00,2024-03-18 00:00:00+00:00,28203840.0,-0.9797812578003562,email,B2C,organic,0.24,570246.17,463.0,-27633593.83,Muy Alto,Muy Alto,Pérdida
User-centric holistic firmware,2022-08-06 00:00:00+00:00,2024-03-12 00:00:00+00:00,99957150.0,-0.9956931721242553,webinar,B2C,Referral,0.62,430498.24,584.0,-99526651.76,Muy Alto,Muy Alto,Pérdida
Virtual real-time architecture,2023-06-06 00:00:00+00:00,2023-12-25 00:00:00+00:00,27675420.0,-0.9756944057217559,email,B2B,paid,0.1,672667.53,202.0,-27002752.47,Muy Alto,Muy Alto,Pérdida
Open-source 6thgeneration secured line,2023-03-07 00:00:00+00:00,2023-09-30 00:00:00+00:00,12480750.0,-0.9320730765378684,podcast,B2B,promotion,0.82,847778.95,207.0,-11632971.05,Muy Alto,Muy Alto,Pérdida
Reduced leadingedge architecture,2023-04-23 00:00:00+00:00,2024-06-06 00:00:00+00:00,84119330.0,-0.9902924378974487,email,B2C,organic,0.64,816593.62,410.0,-83302736.38,Muy Alto,Muy Alto,Pérdida
Fully-configurable 24/7 knowledgebase,2022-09-30 00:00:00+00:00,2024-01-20 00:00:00+00:00,6658220.0,-0.9588549537263714,webinar,B2C,promotion,0.3,273952.77,477.0,-6384267.23,Muy Alto,Muy Alto,Pérdida
Organic 4thgeneration neural-net,2022-10-29 00:00:00+00:00,2024-04-16 00:00:00+00:00,53826210.0,-0.9872962118269147,podcast,B2B,promotion,0.2,683796.77,535.0,-53142413.23,Muy Alto,Muy Alto,Pérdida
Centralized 3rdgeneration budgetary management,2023-07-26 00:00:00+00:00,2023-08-11 00:00:00+00:00,8512500.0,-0.9571631847283407,webinar,B2C,promotion,0.14,364648.39,16.0,-8147851.61,Muy Alto,Muy Alto,Pérdida
Persevering web-enabled workforce,2023-06-23 00:00:00+00:00,2024-01-03 00:00:00+00:00,7922080.0,-0.9962667026841435,social media,B2C,paid,0.3,29575.48,194.0,-7892504.52,Muy Alto,Bajo,Pérdida
Multi-channeled high-level interface,2023-04-06 00:00:00+00:00,2023-08-15 00:00:00+00:00,4656050.0,-0.8949720750421495,social media,B2C,paid,0.85,489015.27,131.0,-4167034.73,Muy Alto,Muy Alto,Pérdida
Re-contextualized high-level project,2023-07-13 00:00:00+00:00,2024-04-22 00:00:00+00:00,56850620.0,-0.9932610907321678,social media,B2C,Referral,0.98,383111.17,284.0,-56467508.83,Muy Alto,Muy Alto,Pérdida
Right-sized tangible product,2022-11-09 00:00:00+00:00,2024-02-16 00:00:00+00:00,94856150.0,-0.9970090377903805,email,B2B,Referral,0.23,283711.16,464.0,-94572438.84,Muy Alto,Muy Alto,Pérdida
Diverse leadingedge initiative,2022-10-17 00:00:00+00:00,2023-08-16 00:00:00+00:00,93383630.0,-0.9919695809640297,email,B2B,promotion,0.76,749909.68,303.0,-92633720.32,Muy Alto,Muy Alto,Pérdida
Intuitive transitional hardware,2023-02-25 00:00:00+00:00,2023-09-15 00:00:00+00:00,26183570.0,-0.9835855041921326,social media,B2B,Referral,0.26,429790.1,202.0,-25753779.9,Muy Alto,Muy Alto,Pérdida
Diverse 6thgeneration superstructure,2022-08-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,99128360.0,-0.9914017078462714,email,B2B,promotion,0.78,852334.6,518.0,-98276025.4,Muy Alto,Muy Alto,Pérdida
Enhanced 4thgeneration hierarchy,2022-08-06 00:00:00+00:00,2024-04-17 00:00:00+00:00,80647640.0,-0.9891855549647827,webinar,B2B,Referral,0.81,872159.47,620.0,-79775480.53,Muy Alto,Muy Alto,Pérdida
Function-based systematic emulation,2023-03-02 00:00:00+00:00,2024-07-12 00:00:00+00:00,30883420.0,-0.9717213271716669,social media,B2B,paid,0.37,873342.13,498.0,-30010077.87,Muy Alto,Muy Alto,Pérdida
Managed asymmetric array,2022-10-14 00:00:00+00:00,2024-07-06 00:00:00+00:00,24998610.0,-0.9971495299138633,webinar,B2C,organic,0.39,71257.79,631.0,-24927352.21,Muy Alto,Medio,Pérdida
Enterprise-wide mission-critical utilization,2022-09-29 00:00:00+00:00,2023-09-05 00:00:00+00:00,64119810.0,-0.9966950840933559,social media,B2B,promotion,0.93,211910.58,341.0,-63907899.42,Muy Alto,Muy Alto,Pérdida
Adaptive clear-thinking methodology,2023-05-16 00:00:00+00:00,2024-03-21 00:00:00+00:00,60594850.0,-0.9859661900310009,social media,B2C,paid,0.82,850376.61,310.0,-59744473.39,Muy Alto,Muy Alto,Pérdida
Networked zero administration model,2022-11-01 00:00:00+00:00,2023-11-06 00:00:00+00:00,22411360.0,-0.9954315213356083,webinar,B2C,organic,0.4,102385.82,370.0,-22308974.18,Muy Alto,Alto,Pérdida
Seamless well-modulated open architecture,2022-08-28 00:00:00+00:00,2023-10-09 00:00:00+00:00,47906320.0,-0.9818012627561458,webinar,B2B,promotion,0.45,871834.53,407.0,-47034485.47,Muy Alto,Muy Alto,Pérdida
Exclusive radical installation,2022-08-09 00:00:00+00:00,2023-10-10 00:00:00+00:00,28548760.0,-0.9936579896990272,email,B2C,promotion,0.6,181056.53,427.0,-28367703.47,Muy Alto,Alto,Pérdida
Intuitive bottom-line algorithm,2022-08-27 00:00:00+00:00,2024-05-06 00:00:00+00:00,44251430.0,-0.9808692668236937,email,B2B,Referral,0.16,846562.3,618.0,-43404867.7,Muy Alto,Muy Alto,Pérdida
Compatible stable extranet,2022-12-24 00:00:00+00:00,2023-11-13 00:00:00+00:00,32895110.0,-0.9958395603480273,podcast,B2C,Referral,0.1,136858.12,324.0,-32758251.88,Muy Alto,Alto,Pérdida
Progressive secondary synergy,2022-11-08 00:00:00+00:00,2024-04-06 00:00:00+00:00,5598590.0,-0.909723353558664,social media,B2B,organic,0.59,505421.93,515.0,-5093168.07,Muy Alto,Muy Alto,Pérdida
Sharable next generation ability,2022-12-15 00:00:00+00:00,2024-02-19 00:00:00+00:00,23212270.0,-0.964235372068307,webinar,B2C,Referral,0.49,830178.2,431.0,-22382091.8,Muy Alto,Muy Alto,Pérdida
Devolved value-added support,2023-07-02 00:00:00+00:00,2024-02-13 00:00:00+00:00,4205160.0,-0.9315863130059261,email,B2B,Referral,0.25,287690.5,226.0,-3917469.5,Muy Alto,Muy Alto,Pérdida
Front-line full-range matrices,2022-08-04 00:00:00+00:00,2023-08-10 00:00:00+00:00,79829520.0,-0.9940770159960877,email,B2B,paid,0.7,472828.97,371.0,-79356691.03,Muy Alto,Muy Alto,Pérdida
Grass-roots foreground firmware,2023-04-26 00:00:00+00:00,2024-04-21 00:00:00+00:00,96169660.0,-0.9952638396558747,podcast,B2C,organic,0.45,455474.93,361.0,-95714185.07,Muy Alto,Muy Alto,Pérdida
Implemented reciprocal monitoring,2023-02-26 00:00:00+00:00,2024-06-19 00:00:00+00:00,72722220.0,-0.9914862567451873,email,B2C,organic,0.1,619138.31,479.0,-72103081.69,Muy Alto,Muy Alto,Pérdida
Reverse-engineered foreground approach,2023-02-22 00:00:00+00:00,2024-02-18 00:00:00+00:00,5212520.0,-0.9946753662336069,webinar,B2C,Referral,0.8,27754.76,361.0,-5184765.24,Muy Alto,Bajo,Pérdida
Open-source maximized projection,2023-03-23 00:00:00+00:00,2024-03-22 00:00:00+00:00,77340130.0,-0.9955081237903272,webinar,B2B,Referral,0.74,347402.29,365.0,-76992727.71,Muy Alto,Muy Alto,Pérdida
Intuitive object-oriented moratorium,2022-12-18 00:00:00+00:00,2023-08-28 00:00:00+00:00,97763510.0,-0.9974962800537747,webinar,B2C,promotion,0.7,244772.45,253.0,-97518737.55,Muy Alto,Muy Alto,Pérdida
Virtual 4thgeneration Graphical User Interface,2023-07-27 00:00:00+00:00,2024-03-27 00:00:00+00:00,15463290.0,-0.937707207845161,social media,B2B,promotion,0.6,963251.51,244.0,-14500038.49,Muy Alto,Muy Alto,Pérdida
Reactive multi-tasking extranet,2022-12-26 00:00:00+00:00,2023-08-25 00:00:00+00:00,51210380.0,-0.989530663705288,email,B2B,Referral,0.83,536138.69,242.0,-50674241.31,Muy Alto,Muy Alto,Pérdida
Enhanced heuristic archive,2023-05-05 00:00:00+00:00,2023-09-26 00:00:00+00:00,16066410.0,-0.9683273531548118,email,B2B,paid,0.3,508865.73,144.0,-15557544.27,Muy Alto,Muy Alto,Pérdida
Stand-alone bandwidth-monitored capability,2022-10-10 00:00:00+00:00,2024-03-29 00:00:00+00:00,89383190.0,-0.9907257376918411,social media,B2C,Referral,0.77,828963.15,536.0,-88554226.85,Muy Alto,Muy Alto,Pérdida
Open-source coherent archive,2022-08-18 00:00:00+00:00,2024-06-11 00:00:00+00:00,4655800.0,-0.9322035181923621,podcast,B2B,organic,0.4,315646.86,663.0,-4340153.14,Muy Alto,Muy Alto,Pérdida
Future-proofed coherent core,2022-09-14 00:00:00+00:00,2024-05-08 00:00:00+00:00,6217830.0,-0.9489631463066697,social media,B2C,paid,0.2,317338.48,602.0,-5900491.52,Muy Alto,Muy Alto,Pérdida
Decentralized radical emulation,2022-09-18 00:00:00+00:00,2024-04-23 00:00:00+00:00,2020150.0,-0.8339799420835087,webinar,B2B,promotion,0.89,335385.42,583.0,-1684764.58,Muy Alto,Muy Alto,Pérdida
Team-oriented content-based data-warehouse,2022-11-12 00:00:00+00:00,2024-01-15 00:00:00+00:00,43643990.0,-0.9892305025273811,social media,B2C,organic,0.55,470023.84,429.0,-43173966.16,Muy Alto,Muy Alto,Pérdida
Expanded tangible capacity,2023-06-26 00:00:00+00:00,2024-05-07 00:00:00+00:00,20647170.0,-0.9631988906954317,email,B2B,organic,0.78,759838.76,316.0,-19887331.24,Muy Alto,Muy Alto,Pérdida
Secured methodical system engine,2023-05-30 00:00:00+00:00,2024-05-08 00:00:00+00:00,29781930.0,-0.9809336695103372,webinar,B2C,paid,0.46,567832.12,344.0,-29214097.88,Muy Alto,Muy Alto,Pérdida
Synergistic well-modulated conglomeration,2023-04-23 00:00:00+00:00,2023-11-23 00:00:00+00:00,89003410.0,-0.9927695156848484,podcast,B2C,Referral,0.18,643537.76,214.0,-88359872.24,Muy Alto,Muy Alto,Pérdida
Programmable dedicated ability,2022-10-18 00:00:00+00:00,2024-03-26 00:00:00+00:00,34838170.0,-0.9917798564046275,podcast,B2B,promotion,0.22,286374.76,525.0,-34551795.24,Muy Alto,Muy Alto,Pérdida
Public-key dynamic synergy,2023-03-03 00:00:00+00:00,2023-11-16 00:00:00+00:00,820980.0,-0.1160481863139175,webinar,B2B,paid,0.78,725706.76,258.0,-95273.23999999999,Muy Alto,Muy Alto,Pérdida
Synergistic actuating benchmark,2022-12-14 00:00:00+00:00,2023-08-20 00:00:00+00:00,13024350.0,-0.9322523887948343,email,B2C,organic,0.99,882368.6,249.0,-12141981.4,Muy Alto,Muy Alto,Pérdida
Optional client-driven approach,2022-12-30 00:00:00+00:00,2024-07-02 00:00:00+00:00,9180950.0,-0.9898591714365071,webinar,B2C,organic,0.97,93102.44,550.0,-9087847.56,Muy Alto,Medio,Pérdida
Cloned exuding matrices,2023-06-03 00:00:00+00:00,2024-07-16 00:00:00+00:00,46215770.0,-0.9929356081268363,email,B2C,paid,0.63,326486.31,409.0,-45889283.69,Muy Alto,Muy Alto,Pérdida
Expanded zero tolerance adapter,2022-09-19 00:00:00+00:00,2024-05-07 00:00:00+00:00,80474620.0,-0.9951037790548126,email,B2C,organic,0.7,394021.52,596.0,-80080598.48,Muy Alto,Muy Alto,Pérdida
Persistent incremental installation,2022-12-22 00:00:00+00:00,2024-01-27 00:00:00+00:00,12789780.0,-0.9596360375237104,email,B2C,paid,0.4,516246.2,401.0,-12273533.8,Muy Alto,Muy Alto,Pérdida
Integrated full-range encoding,2023-06-18 00:00:00+00:00,2024-03-01 00:00:00+00:00,42818390.0,-0.9818236306876555,email,B2B,promotion,0.14,778282.87,257.0,-42040107.13,Muy Alto,Muy Alto,Pérdida
Total system-worthy framework,2023-01-16 00:00:00+00:00,2023-08-10 00:00:00+00:00,77090580.0,-0.9893887655275132,email,B2C,organic,0.1,818026.22,206.0,-76272553.78,Muy Alto,Muy Alto,Pérdida
Persistent disintermediate artificial intelligence,2023-01-23 00:00:00+00:00,2023-08-21 00:00:00+00:00,10659150.0,-0.9524737357106335,email,B2B,promotion,0.84,506589.58,210.0,-10152560.42,Muy Alto,Muy Alto,Pérdida
Self-enabling explicit interface,2023-01-23 00:00:00+00:00,2024-06-19 00:00:00+00:00,71211280.0,-0.9911780493202761,email,B2B,Referral,0.94,628222.4,513.0,-70583057.6,Muy Alto,Muy Alto,Pérdida
User-centric responsive software,2022-09-24 00:00:00+00:00,2023-08-04 00:00:00+00:00,55105950.0,-0.9822053092270435,email,B2B,paid,0.65,980593.34,314.0,-54125356.66,Muy Alto,Muy Alto,Pérdida
Enterprise-wide bottom-line forecast,2023-01-27 00:00:00+00:00,2024-01-26 00:00:00+00:00,2270130.0,-0.9604691405338021,email,B2C,promotion,0.86,89740.19,364.0,-2180389.81,Muy Alto,Medio,Pérdida
Upgradable transitional productivity,2022-12-25 00:00:00+00:00,2024-05-12 00:00:00+00:00,28460110.0,-0.9791304618991282,social media,B2B,paid,0.37,593949.35,504.0,-27866160.65,Muy Alto,Muy Alto,Pérdida
Assimilated asynchronous project,2023-03-30 00:00:00+00:00,2024-06-25 00:00:00+00:00,81474690.0,-0.9985695013997598,email,B2B,paid,0.98,116549.43,453.0,-81358140.57,Muy Alto,Alto,Pérdida
Reverse-engineered 4thgeneration alliance,2022-10-10 00:00:00+00:00,2023-12-12 00:00:00+00:00,99406410.0,-0.995118041884824,webinar,B2B,promotion,0.3,485297.93,428.0,-98921112.07,Muy Alto,Muy Alto,Pérdida
Networked bi-directional help-desk,2023-03-23 00:00:00+00:00,2023-09-24 00:00:00+00:00,89764520.0,-0.9961418996057685,podcast,B2C,organic,0.8,346320.53,185.0,-89418199.47,Muy Alto,Muy Alto,Pérdida
Diverse exuding superstructure,2022-09-07 00:00:00+00:00,2023-11-04 00:00:00+00:00,11769710.0,-0.9868185061484098,webinar,B2B,paid,0.24,155142.36,423.0,-11614567.64,Muy Alto,Alto,Pérdida
Organized directional service-desk,2022-10-17 00:00:00+00:00,2024-05-11 00:00:00+00:00,4408580.0,-0.9798560443498813,webinar,B2B,Referral,0.71,88806.24,572.0,-4319773.76,Muy Alto,Medio,Pérdida
Balanced 24hour intranet,2022-09-15 00:00:00+00:00,2024-04-11 00:00:00+00:00,31712220.0,-0.9834826218410442,email,B2C,paid,0.12,523802.73,574.0,-31188417.27,Muy Alto,Muy Alto,Pérdida
Reactive well-modulated portal,2023-02-04 00:00:00+00:00,2023-09-02 00:00:00+00:00,34455950.0,-0.9825285293251239,social media,B2B,organic,0.6,601996.12,210.0,-33853953.88,Muy Alto,Muy Alto,Pérdida
Realigned intangible application,2023-07-06 00:00:00+00:00,2024-01-24 00:00:00+00:00,31468430.0,-0.9953162515575134,email,B2B,promotion,0.48,147390.21,202.0,-31321039.79,Muy Alto,Alto,Pérdida
Front-line web-enabled orchestration,2023-01-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,89740860.0,-0.9946815159783403,social media,B2C,paid,0.21,477285.33,518.0,-89263574.67,Muy Alto,Muy Alto,Pérdida
Polarized upward-trending frame,2023-03-23 00:00:00+00:00,2024-05-23 00:00:00+00:00,680620.0,-0.23629875701566216,webinar,B2B,paid,0.78,519790.34,427.0,-160829.65999999997,Muy Alto,Muy Alto,Pérdida
Persevering content-based archive,2022-12-27 00:00:00+00:00,2024-01-04 00:00:00+00:00,21795270.0,-0.9817561163500154,social media,B2B,promotion,0.89,397630.37,373.0,-21397639.63,Muy Alto,Muy Alto,Pérdida
